title,description,genres,year,rating
"Inception","A thief who steals corporate secrets through use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.","Sci-Fi,Thriller",2010,8.8
"The Matrix","A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.","Sci-Fi,Action",1999,8.7
"Interstellar","A team of explorers travel through a wormhole in space in an attempt to ensure humanity’s survival.","Sci-Fi,Adventure",2014,8.6
"Mad Max: Fury Road","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland.","Action,Adventure",2015,8.1
"Arrival","After twelve mysterious spacecraft appear around the world, a linguist is recruited to investigate.","Drama,Sci-Fi",2016,7.9
"Ex Machina","A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence.","Drama,Sci-Fi",2014,7.7
"Her","In a near future, a lonely writer develops an unlikely relationship with an operating system.","Drama,Romance,Sci-Fi",2013,8.0
"Gravity","Two astronauts work together to survive after an accident leaves them adrift in space.","Drama,Thriller",2013,7.7
"Blade Runner 2049","A young blade runner’s discovery of a long-buried secret leads him to track down former blade runner Rick Deckard.","Sci-Fi,Drama",2017,8.0
"Edge of Tomorrow","A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.","Action,Sci-Fi",2014,7.9
